Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,5.388210,5.641780,5.324820,5.546690,3.229317,6619262346
2000-01-05,5.483300,5.578390,5.356510,5.388210,3.137050,6048075688
2000-01-06,5.451600,5.673470,5.419910,5.578390,3.247774,8219055639
2000-01-07,5.705160,5.895340,5.641780,5.673470,3.303130,9495723291
2000-01-10,5.641780,5.927030,5.641780,5.927030,3.450754,10542683436
2000-01-11,6.180600,6.307370,5.927030,5.927030,3.450754,53414373518
2000-01-12,5.958730,6.148900,5.958730,6.148900,3.579928,7234002247
2000-01-13,6.148900,6.243990,6.022120,6.212290,3.616835,10239866384
2000-01-14,6.339070,6.339070,5.831940,5.927030,3.450754,8904747470
2000-01-17,5.927030,6.307370,5.895340,6.212290,3.616835,26942416439
2000-01-18,6.148900,6.148900,5.958730,5.958730,3.469209,8834988705
2000-01-19,5.958730,6.085510,5.895340,5.958730,3.469209,7226365171
2000-01-20,6.085510,6.085510,5.927030,5.958730,3.469209,6566833393
2000-01-21,5.958730,6.022120,5.895340,5.990420,3.487660,4576321576
2000-01-24,6.022120,6.307370,6.022120,6.307370,3.672191,13950422043
2000-01-25,6.339070,6.402460,6.212290,6.339070,3.690647,11835786716
2000-01-26,6.402460,6.782810,6.275680,6.782810,3.948994,26881069068
2000-01-27,6.972980,7.226540,6.909580,7.226540,4.207336,32111941719
2000-01-28,7.606890,7.701980,7.480110,7.701980,4.484141,56568540
2000-01-31,7.416720,7.416720,7.131450,7.131450,4.151976,13560338679
2000-02-01,7.289930,7.606890,7.226540,7.606890,4.428779,28650222771
2000-02-02,7.606890,7.606890,7.606890,7.606890,4.428779,0
2000-02-03,7.606890,7.606890,7.606890,7.606890,4.428779,0
2000-02-04,7.606890,7.606890,7.606890,7.606890,4.428779,0
2000-02-07,7.606890,7.606890,7.606890,7.606890,4.428779,0
2000-02-08,7.606890,7.606890,7.606890,7.606890,4.428779,0
2000-02-09,7.923840,8.114020,7.670280,8.050620,4.687122,38131748
2000-02-10,8.177410,8.589440,8.177410,8.589440,5.000826,57698215
2000-02-11,8.747920,8.811310,8.209100,8.462660,4.927014,33970983
2000-02-14,8.304190,8.399280,7.892150,8.114020,4.724034,19849032
2000-02-15,7.733670,8.050620,7.606890,7.733670,4.502591,13511376
2000-02-16,7.797070,7.987230,7.701980,7.765370,4.521048,14745764
2000-02-17,7.892150,8.304190,7.828750,8.304190,4.834752,35904988
2000-02-18,8.557750,8.684530,8.050620,8.050620,4.687122,54506598
2000-02-21,8.240800,8.652840,8.240800,8.304190,4.834752,39430045
2000-02-22,8.304190,8.304190,7.733670,7.797070,4.539504,16798130
2000-02-23,7.480110,7.987230,7.289930,7.321630,4.262699,11130836
2000-02-24,7.416720,7.543500,7.036370,7.099760,4.133525,10361611831
2000-02-25,7.036370,7.131450,6.624330,6.624330,3.856727,22915300297
2000-02-28,6.624330,6.624330,6.624330,6.624330,3.856727,0
2000-02-29,6.656030,6.814500,6.529240,6.624330,3.856727,8702572292
2000-03-01,6.782810,6.941290,6.656030,6.909580,4.022801,8283301876
2000-03-02,7.036370,7.036370,6.719420,6.751110,3.930539,7297186210
2000-03-03,6.751110,6.846200,6.687720,6.687720,3.893633,4904219873
2000-03-06,6.465850,6.560940,6.243990,6.275680,3.653740,8198357136
2000-03-07,6.243990,6.529240,6.243990,6.402460,3.727553,8818029517
2000-03-08,6.402460,6.465850,6.339070,6.339070,3.690647,4566692218
2000-03-09,6.434160,6.465850,6.339070,6.402460,3.727553,5496432948
2000-03-10,6.465850,6.497550,6.275680,6.339070,3.690647,6362142376
2000-03-13,6.212290,6.212290,5.895340,5.895340,3.432304,5139419242
2000-03-14,5.736860,5.895340,5.578390,5.768550,3.358486,5801628061
2000-03-15,5.831940,5.831940,5.578390,5.578390,3.247774,7755361216
2000-03-16,5.388210,5.705160,5.388210,5.705160,3.321580,7768746423
2000-03-17,5.768550,5.768550,5.578390,5.736860,3.340036,10435891117
2000-03-20,5.546690,5.546690,5.546690,5.546690,3.229317,2970995087
2000-03-21,5.388210,5.927030,5.388210,5.927030,3.450754,11381805696
2000-03-22,5.927030,6.022120,5.736860,5.736860,3.340036,5163530526
2000-03-23,5.736860,6.022120,5.641780,6.022120,3.506116,24651406387
2000-03-24,5.958730,5.958730,5.831940,5.831940,3.395393,4441068299
2000-03-27,5.705160,5.831940,5.578390,5.768550,3.358486,8050680347
2000-03-28,5.705160,5.958730,5.705160,5.831940,3.395393,10784585741
2000-03-29,5.831940,5.927030,5.705160,5.705160,3.321580,6253268220
2000-03-30,5.800250,5.958730,5.800250,5.831940,3.395393,9992915864
2000-03-31,5.895340,6.022120,5.895340,5.958730,3.469209,8614538553
2000-04-03,5.958730,5.958730,5.958730,5.958730,3.469209,0
2000-04-04,5.958730,5.958730,5.958730,5.958730,3.469209,0
2000-04-05,5.895340,6.117210,5.895340,6.053810,3.524566,7060967278
2000-04-06,6.180600,6.339070,6.117210,6.117210,3.561478,11074003808
2000-04-07,6.180600,6.212290,5.958730,6.022120,3.506116,6255024899
2000-04-10,5.831940,5.958730,5.831940,5.863640,3.413848,3694544389
2000-04-11,5.863640,5.958730,5.800250,5.895340,3.432304,4247706829
2000-04-12,5.895340,6.053810,5.895340,5.895340,3.432304,5843578938
2000-04-13,5.927030,5.958730,5.736860,5.768550,3.358486,3763408969
2000-04-14,5.768550,5.831940,5.705160,5.736860,3.340036,4340579359
2000-04-17,5.451600,5.610080,5.451600,5.514990,3.210862,3557301586
2000-04-18,5.673470,5.831940,5.514990,5.673470,3.303130,8500950986
2000-04-19,5.831940,5.831940,5.578390,5.641780,3.284680,4864013275
2000-04-20,5.578390,5.831940,5.578390,5.641780,3.284680,7612021703
2000-04-21,5.736860,5.768550,5.610080,5.705160,3.321580,3180737074
2000-04-24,5.673470,5.705160,5.514990,5.514990,3.210862,2279236857
2000-04-25,5.483300,5.578390,5.451600,5.546690,3.229317,3207832646
2000-04-26,5.578390,5.578390,5.166340,5.388210,3.137050,5849959473
2000-04-27,5.198040,5.324820,5.198040,5.293120,3.081688,3406074239
2000-04-28,5.261430,5.293120,5.071250,5.261430,3.063238,4346090509
2000-05-01,5.261430,5.261430,5.261430,5.261430,3.063238,0
2000-05-02,5.166340,5.166340,5.071250,5.102950,2.970970,4866640716
2000-05-03,4.944480,5.071250,4.944480,4.976170,2.897157,3605477308
2000-05-04,4.944480,5.293120,4.944480,5.198040,3.026331,5739704774
2000-05-05,5.102950,5.293120,5.071250,5.293120,3.081688,3516436405
2000-05-08,5.198040,5.229730,5.007870,5.071250,2.952514,2405713628
2000-05-09,5.071260,5.071260,5.071260,5.071260,2.952519,0
2000-05-10,5.198040,5.229730,5.134640,5.134640,2.989420,1087208077
2000-05-11,5.102950,5.261430,5.102950,5.166340,3.007876,1864072248
2000-05-12,5.229730,5.451600,5.229730,5.293120,3.081688,6022578350
2000-05-15,5.293120,5.610080,5.261430,5.388210,3.137050,5743322845
2000-05-16,5.451600,5.451600,5.261430,5.324820,3.100143,2832031428
2000-05-17,5.388210,5.610080,5.356510,5.483300,3.192412,6165195902
2000-05-18,5.546690,5.705160,5.483300,5.546690,3.229317,6166037731
2000-05-19,5.578390,5.768550,5.514990,5.578390,3.247774,10235803288
2000-05-22,5.388210,5.388210,5.198040,5.198040,3.026331,2456194388
2000-05-23,5.198040,5.293120,5.198040,5.229730,3.044781,1527323042
2000-05-24,5.134640,5.229730,5.071250,5.071250,2.952514,5769907257
2000-05-25,5.198040,5.198040,5.071250,5.102950,2.970970,3609000311
2000-05-26,5.102950,5.324820,5.071250,5.324820,3.100143,5667052655
2000-05-29,5.324820,5.324820,5.198040,5.229730,3.044781,2299607447
2000-05-30,5.229740,5.229740,5.229740,5.229740,3.044788,0
2000-05-31,5.293120,5.324820,5.198040,5.229730,3.044781,2753967359
2000-06-01,5.293120,5.293120,5.198040,5.229730,3.044781,2452196048
2000-06-02,5.261430,5.293120,5.198040,5.198040,3.026331,1692796713
2000-06-05,5.198040,5.229730,5.134640,5.134640,2.989420,1318803153
2000-06-06,5.134650,5.134650,5.134650,5.134650,2.989426,0
2000-06-07,5.071250,5.166340,5.071250,5.134640,2.989420,1786232758
2000-06-08,5.102950,5.166340,5.071250,5.071250,2.952514,2057906299
2000-06-09,5.071250,5.134640,5.071250,5.071250,2.952514,2874543065
2000-06-12,5.134640,5.134640,4.944480,4.976170,2.897157,3961576163
2000-06-13,4.976170,5.007870,4.881090,4.912780,2.860251,2259358138
2000-06-14,4.944480,5.007870,4.912780,5.007870,2.915614,2192149658
2000-06-15,5.007870,5.007870,4.912780,4.944480,2.878707,1327751884
2000-06-16,4.912780,4.976170,4.881090,4.944480,2.878707,1549555023
2000-06-19,4.912780,4.976170,4.881090,4.976170,2.897157,747741874
2000-06-20,4.944480,5.071250,4.944480,5.071250,2.952514,2644131508
2000-06-21,5.071250,5.071250,4.944480,4.976170,2.897157,953232009
2000-06-22,4.659220,4.881090,4.659220,4.817690,2.804890,2573591538
2000-06-23,4.817690,4.912780,4.754300,4.849390,2.823346,1284074638
2000-06-26,4.817690,4.912780,4.754300,4.786000,2.786438,1230462166
2000-06-27,4.849390,4.849390,4.786000,4.786000,2.786438,1620110150
2000-06-28,4.849390,4.944480,4.786000,4.881090,2.841801,2899352887
2000-06-29,4.881090,4.881090,4.627520,4.627520,2.694172,4118047369
2000-06-30,4.627520,4.754300,4.595820,4.722610,2.749533,2134439645
2000-07-03,4.849390,5.039560,4.817690,5.039560,2.934063,3931205590
2000-07-04,5.198040,5.356510,5.071250,5.071250,2.952514,18556430808
2000-07-05,5.166340,5.324820,5.071250,5.229730,3.044781,11083886679
2000-07-06,5.229730,5.514990,5.166340,5.451600,3.173956,21988603101
2000-07-07,5.356510,5.419910,5.134640,5.261430,3.063238,7837529714
2000-07-10,5.229730,5.261430,5.134640,5.134640,2.989420,3446506795
2000-07-11,5.102950,5.229730,5.071250,5.071250,2.952514,3579388900
2000-07-12,4.944480,5.007870,4.754300,4.786000,2.786438,7180856846
2000-07-13,4.754300,4.849390,4.722610,4.754300,2.767983,9376087236
2000-07-14,4.786000,5.071250,4.786000,5.071250,2.952514,10202611007
2000-07-17,5.261430,5.356510,5.102950,5.261430,3.063238,10283834342
2000-07-18,5.198040,5.198040,5.071250,5.102950,2.970970,5264175156
2000-07-19,5.198040,5.198040,5.071250,5.102950,2.970970,5264175156
2000-07-20,5.413720,5.480980,5.211970,5.279220,3.073596,5425921603
2000-07-21,5.312850,5.380100,5.245590,5.346470,3.112749,3846797746
2000-07-24,5.279220,5.380100,5.279220,5.279220,3.073596,1637031067
2000-07-25,5.279220,5.346470,5.111090,5.144720,2.995288,2259416526
