公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1201,味全公司,1437262,1394392,1263103,3.07,13.78,10094284,9167230,10.11
1203,味王公司,201970,158154,180603,27.7,11.83,1329313,1348702,-1.43
1210,大成長城,2120335,1946071,2013621,8.95,5.29,15222410,14947257,1.84
1213,大飲,105371,90739,102626,16.12,2.67,530492,502453,5.58
1215,卜蜂企業,1344104,1179593,1307175,13.94,2.82,9701306,9642786,0.6
1216,統一,4769641,4654775,4875928,2.46,-2.17,32356540,35414021,-8.63
1217,愛之味,551887,375101,445076,47.13,23.99,2387647,2270737,5.14
1218,泰山企業,872242,817861,784931,6.64,11.12,5382134,5039482,6.79
1219,福壽實業,987649,1003085,913024,-1.53,8.17,6782081,6465324,4.89
1220,台榮,353873,339992,302007,4.08,17.17,2158031,2039869,5.79
1225,福懋油,982925,977447,862646,0.56,13.94,6872381,6234457,10.23
1227,佳格,1072022,985529,981117,8.77,9.26,7932822,8157384,-2.75
1229,聯華實業,347065,328855,341131,5.53,1.73,2587363,2661281,-2.77
1231,聯華食品,520362,523088,417931,-0.52,24.5,3613286,3507763,3.0
1232,大統益,1715176,1714501,1523877,0.03,12.55,11400838,11093667,2.76
1233,天仁,172777,159894,182536,8.05,-5.34,1353045,1362349,-0.68
1234,黑松,646071,634284,601250,1.85,7.45,3920730,3878695,1.08
1235,興泰,24811,24935,29666,-0.49,-16.36,214709,215533,-0.38
1236,宏亞食品,198683,155381,160035,27.86,24.14,1296971,1429864,-9.29
1702,南僑化工,208109,189715,200352,9.69,3.87,1562634,1510720,3.43
1737,臺鹽,190334,175357,195847,8.54,-2.81,1516834,1580173,-4.0
合計,合計,18822669,17828749,17684482,5.57,6.43,128215851,128469747,-0.19
